r,sequence,timestamp,endpoint,deg,deg/sec,mA,grip/rotation,torque,force,ori,#
m,54,54,377.2943761562444/-412.0737759761297/-200.98299390073453,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,55,55,379.0689351110309/-410.4340373042436/-198.74116098861876,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,56,56,380.82455867925836/-408.82237175367294/-196.42251168713724,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,57,57,382.558227863955/-407.24193275998056/-194.02726769122262,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,58,58,384.2671277127649/-405.69561633892937/-191.55508022108074,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,59,59,385.9484449396339/-404.1863076081409/-189.00566660092449,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,60,60,387.5987665680019/-402.71749811567776/-186.38162857711163,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,61,61,389.2141769740514/-401.29318770502493/-183.6879855655244,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,62,62,390.79155983756283/-399.916507571361/-180.92651436402878,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,63,63,392.3308045717796/-398.58732673856247/-178.08675493303733,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,64,64,393.83217831840574/-397.3050984190838/-175.15678890483997,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,65,65,395.28821802386176/-396.07752188155933/-172.15811797238138,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,66,66,396.6834530542819/-394.92083834660235/-169.14686311169345,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,67,67,398.0107744932792/-393.8423210759985/-166.14369743396452,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,68,68,399.30416355016337/-392.805184150488/-162.9949539806781,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,69,69,400.6071199257361/-391.7624320149264/-159.50664296784174,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,70,70,401.86686207953755/-390.7701806195583/-155.89565227649697,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,71,71,402.90729916201275/-390.0166028821876/-152.9050889700661,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,72,72,403.5993519193986/-389.6397802566251/-151.0850213023031,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,73,73,404.14579851470023/-389.4239320379947/-149.6150081987589,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,74,74,404.86937276029244/-389.0253946655596/-147.17991233630602,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,75,75,405.8537908226855/-388.3570878444895/-143.49644092660014,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,76,76,406.80292349881466/-387.7396894283461/-139.9210397028686,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,77,77,407.43657054739737/-387.4755561370985/-137.71034237631534,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,78,78,407.86146773288476/-387.44216080837305/-136.2088275485136,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,79,79,408.3645436144722/-387.3191612070406/-133.87176902555163,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,80,80,409.0692417683899/-386.97217377245/-130.1267760246659,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,81,81,409.7734748669725/-386.6370141118016/-126.33549409844493,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,82,82,410.2614425402832/-386.5635501766421/-123.90251563886316,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,83,83,410.5682911086632/-386.70049608075607/-122.34753675131182,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,84,84,410.87591343551316/-386.82048387227724/-120.08862132305235,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,85,85,411.2870521189393/-386.7999426351434/-116.35750152223713,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,86,86,411.70330822372193/-386.7785632421531/-112.4408777654026,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,87,87,412.00369349029023/-386.92383848198824/-109.81287927367332,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,88,88,412.1785877815683/-387.23323996557554/-108.21357171221473,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,89,89,412.29934286195964/-387.58062752979544/-106.12235930411435,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
