deg,endpoint
99.17/0.0/0.708/-10.472,-51.691/685.165/3.886
99.11/0.0/0.722/-10.482,-50.922/685.216/3.967
99.051/0.0/0.737/-10.491,-50.162/685.266/4.048
98.993/0.0/0.752/-10.501,-49.41/685.314/4.128
98.935/0.0/0.766/-10.511,-48.668/685.361/4.207
98.879/0.0/0.78/-10.52,-47.934/685.406/4.285
98.822/0.0/0.794/-10.53,-47.209/685.45/4.362
98.767/0.0/0.808/-10.539,-46.493/685.493/4.438
98.712/0.0/0.822/-10.548,-45.786/685.535/4.513
98.658/0.0/0.836/-10.557,-45.088/685.575/4.587
98.604/0.0/0.849/-10.566,-44.398/685.614/4.661
98.552/0.0/0.862/-10.575,-43.716/685.652/4.733
98.499/0.0/0.875/-10.583,-43.044/685.688/4.804
98.448/0.0/0.888/-10.592,-42.38/685.724/4.875
98.397/0.0/0.901/-10.6,-41.724/685.758/4.945
98.347/0.0/0.913/-10.609,-41.077/685.792/5.013
98.297/0.0/0.926/-10.617,-40.438/685.824/5.081
98.249/0.0/0.938/-10.625,-39.807/685.855/5.148
98.2/0.0/0.95/-10.633,-39.185/685.886/5.214
98.153/0.0/0.962/-10.641,-38.57/685.915/5.279
98.106/0.0/0.974/-10.649,-37.964/685.943/5.343
98.059/0.0/0.985/-10.657,-37.366/685.971/5.407
98.014/0.0/0.997/-10.664,-36.777/685.997/5.469
97.969/0.0/1.008/-10.672,-36.195/686.023/5.531
97.924/0.0/1.019/-10.679,-35.621/686.048/5.592
97.88/0.0/1.03/-10.687,-35.055/686.072/5.652
97.837/0.0/1.041/-10.694,-34.497/686.095/5.711
97.794/0.0/1.051/-10.701,-33.947/686.117/5.77
97.752/0.0/1.062/-10.708,-33.404/686.139/5.827
97.711/0.0/1.072/-10.715,-32.869/686.16/5.884
97.67/0.0/1.082/-10.722,-32.342/686.18/5.94
97.63/0.0/1.093/-10.728,-31.823/686.2/5.995
97.59/0.0/1.102/-10.735,-31.311/686.219/6.049
97.551/0.0/1.112/-10.741,-30.806/686.237/6.102
97.513/0.0/1.122/-10.748,-30.309/686.254/6.155
97.475/0.0/1.131/-10.754,-29.82/686.271/6.207
97.437/0.0/1.141/-10.76,-29.337/686.287/6.258
97.401/0.0/1.15/-10.767,-28.862/686.303/6.308
97.364/0.0/1.159/-10.773,-28.395/686.318/6.358
97.329/0.0/1.168/-10.779,-27.934/686.333/6.407
97.294/0.0/1.177/-10.784,-27.481/686.347/6.455
97.259/0.0/1.185/-10.79,-27.035/686.36/6.502
97.225/0.0/1.194/-10.796,-26.596/686.373/6.549
97.192/0.0/1.202/-10.801,-26.163/686.386/6.594
97.159/0.0/1.21/-10.807,-25.738/686.398/6.639
97.126/0.0/1.218/-10.812,-25.32/686.409/6.684
97.094/0.0/1.226/-10.818,-24.908/686.42/6.727
97.063/0.0/1.234/-10.823,-24.504/686.431/6.77
97.032/0.0/1.242/-10.828,-24.106/686.441/6.812
97.002/0.0/1.25/-10.833,-23.715/686.451/6.854
96.972/0.0/1.257/-10.838,-23.33/686.461/6.894
96.943/0.0/1.264/-10.843,-22.952/686.47/6.934
96.914/0.0/1.271/-10.848,-22.581/686.479/6.974
96.886/0.0/1.279/-10.852,-22.216/686.487/7.012
96.858/0.0/1.285/-10.857,-21.858/686.495/7.05
96.831/0.0/1.292/-10.862,-21.505/686.503/7.088
96.804/0.0/1.299/-10.866,-21.16/686.51/7.124
96.778/0.0/1.306/-10.87,-20.82/686.517/7.16
96.752/0.0/1.312/-10.875,-20.487/686.524/7.195
96.727/0.0/1.318/-10.879,-20.16/686.53/7.23
96.702/0.0/1.325/-10.883,-19.839/686.537/7.264
96.678/0.0/1.331/-10.887,-19.525/686.543/7.297
96.654/0.0/1.337/-10.891,-19.216/686.548/7.33
96.63/0.0/1.342/-10.895,-18.913/686.554/7.362
96.607/0.0/1.348/-10.899,-18.616/686.559/7.393
96.585/0.0/1.354/-10.903,-18.326/686.564/7.424
96.563/0.0/1.359/-10.906,-18.04/686.569/7.454
96.541/0.0/1.365/-10.91,-17.761/686.573/7.484
96.52/0.0/1.37/-10.913,-17.488/686.577/7.513
96.499/0.0/1.375/-10.917,-17.22/686.582/7.541
96.479/0.0/1.38/-10.92,-16.957/686.586/7.569
96.459/0.0/1.385/-10.924,-16.701/686.589/7.596
96.439/0.0/1.39/-10.927,-16.45/686.593/7.623
96.42/0.0/1.395/-10.93,-16.204/686.596/7.649
96.402/0.0/1.4/-10.933,-15.964/686.6/7.674
96.384/0.0/1.404/-10.936,-15.729/686.603/7.699
96.366/0.0/1.409/-10.939,-15.499/686.606/7.723
96.348/0.0/1.413/-10.942,-15.275/686.608/7.747
96.332/0.0/1.417/-10.945,-15.056/686.611/7.77
96.315/0.0/1.421/-10.948,-14.842/686.613/7.793
