deg,endpoint
3.0/77.0/72.618/52.987,-0.096/0.251/0.458
3.0/77.0/72.503/52.998,-0.096/0.251/0.458
2.998/77.0/72.362/53.134,-0.095/0.251/0.458
3.014/77.0/71.956/53.545,-0.093/0.253/0.459
2.966/77.0/72.004/53.496,-0.093/0.253/0.459
3.534/77.0/72.001/53.496,-0.096/0.252/0.459
3.487/77.0/71.999/53.544,-0.095/0.252/0.458
3.499/77.0/72.001/53.135,-0.097/0.251/0.459
3.501/77.0/71.999/52.998,-0.097/0.25/0.46
3.615/77.0/71.964/52.961,-0.098/0.25/0.46
4.044/77.0/72.327/53.329,-0.099/0.25/0.458
4.006/77.0/72.092/53.088,-0.099/0.25/0.459
4.038/77.0/72.019/53.006,-0.1/0.249/0.46
4.551/77.0/71.826/53.048,-0.101/0.248/0.46
4.504/77.0/71.401/52.6,-0.102/0.247/0.462
4.485/77.0/71.994/52.978,-0.102/0.248/0.46
5.053/77.0/71.338/53.014,-0.103/0.248/0.462
4.937/77.0/71.034/52.703,-0.103/0.247/0.463
5.41/77.0/70.539/52.877,-0.103/0.246/0.464
5.489/77.0/71.007/52.972,-0.104/0.247/0.463
5.666/76.99/70.256/52.403,-0.106/0.244/0.466
6.035/77.054/70.027/52.894,-0.106/0.245/0.466
6.004/76.532/69.536/52.533,-0.101/0.245/0.468
6.076/76.506/69.528/52.418,-0.102/0.244/0.469
6.561/76.544/69.298/52.163,-0.105/0.242/0.47
6.458/76.112/68.632/52.583,-0.098/0.245/0.471
7.021/76.006/67.995/51.991,-0.1/0.242/0.475
7.502/75.845/67.897/52.012,-0.101/0.241/0.475
7.811/75.515/67.192/52.002,-0.098/0.241/0.478
7.98/75.043/66.564/51.99,-0.093/0.242/0.48
8.528/74.947/65.924/51.925,-0.094/0.241/0.482
8.648/74.476/65.279/51.647,-0.09/0.24/0.485
9.417/74.189/64.656/52.087,-0.088/0.241/0.485
9.499/73.501/64.001/51.502,-0.083/0.24/0.489
10.17/73.412/63.913/51.626,-0.084/0.24/0.489
10.563/72.706/63.209/52.097,-0.077/0.242/0.49
10.418/72.093/62.583/51.558,-0.071/0.242/0.494
11.547/71.486/61.941/51.497,-0.069/0.241/0.496
11.671/71.355/61.301/51.675,-0.067/0.243/0.497
11.997/70.651/60.661/52.089,-0.06/0.245/0.497
12.476/70.021/60.02/51.512,-0.056/0.244/0.5
13.142/69.38/59.38/51.486,-0.052/0.245/0.502
13.498/68.74/58.744/51.759,-0.045/0.248/0.502
13.883/68.1/58.088/52.022,-0.039/0.25/0.502
14.547/67.459/57.43/52.004,-0.035/0.251/0.503
15.003/66.819/56.265/51.96,-0.029/0.253/0.505
15.331/66.179/55.689/52.333,-0.022/0.257/0.505
