r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,12057,449671,1/101/26/90,0/-5/0/0,-229/2003/622/-126,534/-11/262,0/0,600/-730/-12462,-443/267/263,-7/-371/-14,#r_sy
r,12058,449705,1/101/26/90,0/-5/0/0,-230/2018/624/-128,534/-11/262,0/0,628/-714/-12524,-458/277/259,-7/-371/-14,#r_sy
r,12059,449737,1/101/26/90,0/-1/0/0,-229/2011/623/-127,534/-11/262,0/0,638/-722/-12520,-459/278/255,-7/-371/-14,#r_sy
r,12060,449771,1/101/26/90,0/0/0/0,-228/2251/625/-132,534/-11/262,0/0,612/-716/-12476,-452/273/259,-7/-371/-14,#r_sy
r,12061,449805,1/101/26/90,0/0/0/0,-231/2503/618/-127,534/-11/262,0/0,644/-668/-12454,-452/274/255,-7/-371/-14,#r_sy
r,12062,449837,1/101/26/90,0/0/0/0,-229/2278/621/-128,534/-11/262,0/0,652/-652/-12442,-452/274/258,-7/-371/-14,#r_sy
r,12063,449871,1/101/26/90,0/0/0/0,-228/2268/617/-129,534/-11/262,0/0,642/-670/-12488,-462/278/255,-7/-371/-14,#r_sy
r,12064,449905,1/101/26/90,0/0/0/0,-229/2271/623/-129,534/-11/262,0/0,594/-696/-12494,-464/278/261,-7/-371/-14,#r_sy
r,12065,449936,1/101/26/90,0/0/0/0,-229/2268/623/-128,534/-11/262,0/0,566/-728/-12516,-468/279/262,-7/-371/-14,#r_sy
r,12066,449976,1/101/26/90,0/0/0/0,-230/2267/623/-125,534/-11/262,0/0,540/-718/-12574,-484/285/264,-7/-371/-14,#r_sy
r,12067,450018,1/101/26/90,0/0/0/0,-229/2268/621/-129,534/-11/262,0/0,494/-732/-12618,-489/286/269,-7/-371/-14,#r_sy
r,12068,450058,1/101/26/90,0/0/0/0,-229/2267/621/-128,534/-11/262,0/0,454/-748/-12704,-502/292/271,-7/-371/-14,#r_sy
r,12069,450096,1/101/26/90,0/0/0/0,-228/2267/618/-129,534/-11/262,0/0,419/-792/-12802,-513/297/275,-7/-371/-14,#r_sy
r,12070,450132,1/101/26/90,0/0/0/0,-230/2266/623/-131,534/-11/262,0/0,370/-847/-12894,-525/301/279,-7/-371/-14,#r_sy
r,12071,450166,1/101/26/90,0/0/0/0,-229/2267/621/-126,534/-11/262,0/0,286/-882/-12958,-530/304/285,-7/-371/-14,#r_sy
r,12072,450198,1/101/26/90,0/0/0/0,-229/2266/623/-126,534/-11/262,0/0,214/-980/-13060,-541/310/287,-7/-371/-14,#r_sy
r,12073,450231,1/101/26/90,0/0/0/0,-229/2269/621/-127,534/-11/262,0/0,168/-1024/-13128,-550/316/286,-7/-371/-14,#r_sy
r,12074,450266,1/101/26/90,0/0/0/0,-229/2267/621/-132,534/-11/262,0/0,152/-1040/-13194,-559/321/286,-7/-371/-14,#r_sy
r,12075,450297,1/101/26/90,0/0/0/0,-229/2266/619/-131,534/-11/262,0/0,144/-1064/-13246,-563/323/286,-7/-371/-14,#r_sy
r,12076,450332,1/101/26/90,0/0/0/0,-228/2270/623/-130,534/-11/262,0/0,134/-1082/-13317,-570/328/287,-7/-371/-14,#r_sy
r,12077,450365,1/101/26/90,0/0/0/0,-229/2269/622/-128,534/-11/262,0/0,110/-1114/-13410,-579/333/290,-7/-371/-14,#r_sy
r,12078,450397,1/101/26/90,0/0/0/0,-230/2266/619/-128,534/-11/262,0/0,105/-1130/-13508,-586/337/291,-7/-371/-14,#r_sy
