r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,16340,603713,24/40/38/61,-161/40/0/0,-490/1670/277/66,461/-69/-340,0/0,2860/2714/-13424,-640/371/296,50/109/41,#r_sy
r,16341,603754,24/40/38/61,-168/27/0/0,-486/1694/276/70,462/-64/-339,0/0,2916/2594/-13422,-634/371/258,48/109/48,#r_sy
r,16342,603793,23/41/38/61,-182/49/0/0,-496/1675/277/66,463/-58/-338,0/0,2884/2484/-13360,-622/366/253,46/108/55,#r_sy
r,16343,603833,22/41/38/61,-174/31/0/0,-521/1717/277/69,464/-52/-336,0/0,2844/2418/-13330,-612/361/260,44/107/62,#r_sy
r,16344,603873,22/41/38/61,-191/38/0/0,-488/1741/276/69,466/-46/-335,0/0,2872/2408/-13275,-592/354/249,42/106/69,#r_sy
r,16345,603914,21/41/38/61,-196/57/0/0,-518/1715/277/69,468/-40/-333,0/0,2770/2366/-13200,-572/342/266,40/104/76,#r_sy
r,16346,603954,20/41/38/61,-194/73/0/0,-522/1725/278/63,469/-34/-330,0/0,2796/2288/-13153,-560/336/254,38/102/83,#r_sy
r,16347,603993,19/42/38/61,-202/63/0/0,-526/1767/277/68,470/-28/-328,0/0,2820/2174/-13116,-544/331/225,36/100/91,#r_sy
r,16348,604034,19/42/38/61,-196/109/0/0,-506/1789/277/67,472/-21/-325,0/0,2698/2138/-13189,-560/337/250,33/98/98,#r_sy
r,16349,604074,18/42/38/61,-177/66/0/0,-514/1845/276/66,474/-15/-322,0/0,2760/2174/-13152,-538/326/227,31/95/105,#r_sy
r,16350,604113,17/43/38/61,-185/76/0/0,-501/1838/278/66,476/-9/-318,0/0,2710/2208/-13128,-535/322/237,29/91/113,#r_sy
r,16351,604153,17/43/38/61,-180/88/0/0,-543/1842/276/68,478/-3/-314,0/0,2660/2190/-13146,-543/324/241,26/88/120,#r_sy
r,16352,604193,16/44/38/61,-147/118/0/0,-541/1879/278/68,480/2/-310,0/0,2676/2112/-13125,-544/327/217,24/84/128,#r_sy
r,16353,604234,15/44/38/61,-171/115/0/0,-514/1909/276/65,482/8/-305,0/0,2556/2050/-13114,-545/325/239,21/79/135,#r_sy
r,16354,604274,15/45/38/61,-190/161/0/0,-499/1983/328/69,485/15/-301,0/0,2612/2014/-12950,-510/308/211,19/74/142,#r_sy
r,16355,604314,14/45/38/61,-179/149/0/0,-513/1961/344/70,486/21/-295,0/0,2450/1970/-12972,-523/313/238,17/69/150,#r_sy
r,16356,604348,13/46/38/61,-165/163/0/0,-518/1991/345/68,489/27/-289,0/0,2316/1908/-13034,-549/324/258,14/63/157,#r_sy
r,16357,604383,13/46/38/61,-141/168/0/0,-516/2008/344/68,490/30/-286,0/0,2360/1820/-12906,-518/309/231,13/60/161,#r_sy
r,16358,604416,12/47/38/61,-145/178/0/0,-504/2081/344/67,492/37/-280,0/0,2376/1764/-12786,-499/300/216,11/54/168,#r_sy
r,16359,604449,11/47/38/61,-156/180/0/0,-485/2093/345/66,495/43/-273,0/0,2224/1758/-12878,-533/315/251,9/47/175,#r_sy
r,16360,604482,11/48/38/61,-187/188/0/0,-493/2126/345/66,496/46/-270,0/0,2170/1650/-12864,-524/312/238,8/44/178,#r_sy
s,0,#r_sy
r,16361,604516,10/49/38/61,-162/182/0/0,-511/2105/344/69,498/52/-263,0/0,2090/1610/-12814,-519/307/251,6/37/185,#r_sy
r,16362,604550,10/49/38/61,-159/185/0/0,-512/2169/345/66,501/58/-255,0/0,2124/1566/-12786,-517/308/243,5/29/192,#r_sy
r,16363,604582,9/50/38/61,-152/219/0/0,-500/2147/344/68,502/62/-252,0/0,2146/1484/-12766,-517/311/225,4/25/196,#r_sy
r,16364,604621,9/51/38/61,-141/228/0/0,-492/2208/345/68,504/68/-244,0/0,2084/1388/-12790,-525/319/228,2/17/203,#r_sy
r,16365,604661,8/51/38/61,-175/224/0/0,-496/2214/344/67,506/74/-236,0/0,1966/1366/-12758,-522/313/251,1/9/209,#r_sy
r,16366,604702,7/52/38/61,-126/208/0/0,-503/2268/344/65,508/80/-227,0/0,2070/1334/-12610,-489/300/215,0/1/216,#r_sy
r,16367,604741,7/53/38/61,-170/231/0/0,-490/2249/412/67,510/86/-218,0/0,1964/1228/-12698,-504/308/212,0/-7/222,#r_sy
r,16368,604781,6/54/38/61,-152/215/0/0,-511/2331/413/67,513/93/-209,0/0,1895/1214/-12730,-509/309/208,-1/-16/228,#r_sy
r,16369,604821,5/55/38/61,-153/257/0/0,-492/2313/411/67,514/98/-200,0/0,1934/1196/-12574,-478/292/199,-2/-25/234,#r_sy
r,16370,604862,5/56/38/61,-147/248/0/0,-491/2358/412/67,516/104/-190,0/0,1918/1146/-12468,-472/293/194,-2/-34/240,#r_sy
r,16371,604897,4/57/38/61,-124/231/0/0,-504/2391/413/67,518/110/-180,0/0,1752/1156/-12560,-499/301/240,-3/-44/246,#r_sy
r,16372,604929,4/58/38/61,-95/244/0/0,-476/2408/414/68,519/115/-170,0/0,1832/1098/-12458,-477/295/203,-3/-54/251,#r_sy
r,16373,604963,3/58/38/61,-150/253/0/0,-450/2431/412/65,520/118/-165,0/0,1762/1128/-12536,-512/311/228,-3/-59/254,#r_sy
r,16374,604998,3/59/38/61,-103/267/0/0,-448/2406/412/67,522/124/-154,0/0,1806/1032/-12370,-473/294/203,-3/-70/259,#r_sy
r,16375,605030,2/60/38/61,-130/256/0/0,-464/2473/413/69,523/129/-143,0/0,1679/1078/-12518,-528/320/248,-3/-80/264,#r_sy
r,16376,605064,2/61/38/61,-116/275/0/0,-473/2495/411/66,523/131/-137,0/0,1632/1016/-12378,-495/305/241,-3/-85/267,#r_sy
r,16377,605097,2/62/38/61,-139/263/0/0,-467/2509/486/72,525/136/-126,0/0,1626/1040/-12424,-518/317/255,-2/-96/272,#r_sy
r,16378,605130,1/63/38/61,-84/286/0/0,-436/2559/484/67,526/141/-115,0/0,1714/922/-12282,-495/309/224,-2/-107/276,#r_sy
r,16379,605164,1/64/38/61,-113/263/0/0,-409/2579/486/63,526/144/-109,0/0,1656/872/-12280,-498/312/249,-1/-112/279,#r_sy
r,16380,605198,1/65/38/61,-94/269/0/0,-450/2572/487/67,527/148/-98,0/0,1687/814/-12206,-486/311/240,-1/-123/283,#r_sy
