r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#l_sy
r,22009,811620,-2/40/41/49,0/13/0/460,-228/1549/202/603,409/-225/-322,0/0,-1132/2952/-13258,-664/203/580,-3/94/-428,#l_sy
r,22010,811660,-2/40/41/51,0/6/0/469,-231/1551/274/604,414/-217/-323,0/0,-1094/3042/-13200,-651/196/565,-3/93/-409,#l_sy
r,22011,811701,-2/40/41/53,0/11/0/477,-227/1612/278/625,420/-209/-324,0/0,-1078/3126/-13146,-632/186/541,-3/93/-391,#l_sy
r,22012,811740,-2/40/41/55,0/19/0/469,-228/1632/277/616,426/-201/-324,0/0,-1046/3266/-13134,-623/179/516,-3/92/-372,#l_sy
r,22013,811781,-2/40/41/57,0/27/0/499,-230/1626/276/641,432/-192/-324,0/0,-1006/3354/-13082,-608/171/501,-3/91/-352,#l_sy
r,22014,811821,-2/40/41/59,0/40/0/480,-232/1684/278/628,438/-183/-324,0/0,-938/3380/-13078,-603/172/482,-3/89/-333,#l_sy
r,22015,811861,-2/41/41/61,0/51/0/504,-228/1702/278/638,444/-174/-323,0/0,-906/3352/-13092,-601/172/463,-2/87/-313,#l_sy
r,22016,811901,-2/41/41/63,0/56/0/501,-233/1799/278/628,450/-164/-321,0/0,-892/3456/-13120,-610/174/453,-2/85/-293,#l_sy
r,22017,811941,-2/41/41/65,0/76/0/501,-228/1852/344/636,456/-154/-319,0/0,-854/3546/-13064,-594/163/444,-2/82/-272,#l_sy
r,22018,811980,-2/42/41/67,0/80/0/511,-230/1867/344/634,462/-144/-316,0/0,-778/3632/-12996,-592/162/446,-2/78/-252,#l_sy
r,22019,812020,-2/42/41/69,0/115/0/509,-231/1903/344/645,468/-133/-312,0/0,-656/3634/-13020,-597/166/413,-2/73/-231,#l_sy
r,22020,812053,-2/42/41/70,0/119/0/522,-229/1932/344/638,471/-128/-310,0/0,-634/3662/-13042,-610/170/429,-2/71/-221,#l_sy
r,22021,812091,-2/43/41/72,0/130/0/519,-229/1938/344/635,477/-117/-305,0/0,-554/3580/-13116,-640/192/416,-2/65/-200,#l_sy
r,22022,812133,-2/44/41/74,0/156/0/538,-228/1993/342/636,483/-106/-300,0/0,-538/3578/-13028,-640/194/417,-1/59/-179,#l_sy
r,22023,812172,-2/44/41/76,0/171/0/532,-231/2014/343/634,489/-95/-293,0/0,-514/3572/-13012,-654/202/414,-1/52/-158,#l_sy
r,22024,812213,-2/45/41/78,0/197/0/512,-231/2086/412/643,495/-84/-286,0/0,-462/3534/-13092,-693/227/378,-1/45/-137,#l_sy
r,22025,812253,-2/46/41/80,0/203/0/516,-228/2054/413/637,500/-73/-278,0/0,-458/3580/-12950,-670/211/368,-1/37/-116,#l_sy
r,22026,812293,-2/47/41/82,0/218/0/546,-229/2154/411/640,505/-61/-270,0/0,-490/3609/-12912,-681/217/354,0/28/-94,#l_sy
r,22027,812332,-2/47/41/85,0/250/0/539,-228/2163/413/630,510/-50/-261,0/0,-618/3624/-12844,-682/218/353,0/19/-73,#l_sy
r,22028,812372,-2/48/41/87,7/238/0/523,205/2200/411/651,515/-38/-251,0/0,-632/3654/-12814,-689/221/329,0/10/-52,#l_sy
r,22029,812412,-2/49/41/89,27/232/0/527,283/2247/411/658,519/-26/-241,0/0,-492/3748/-12696,-680/220/281,0/0/-30,#l_sy
r,22030,812452,-2/50/41/90,20/267/0/518,315/2294/412/664,523/-13/-230,0/0,-278/3808/-12672,-699/242/211,0/-9/-9,#l_sy
r,22031,812492,-2/52/41/90,39/276/0/423,296/2338/486/-3186,527/-1/-218,0/0,-578/3916/-12654,-732/255/307,0/-20/11,#l_sy
r,22032,812533,-1/53/41/90,37/286/0/212,302/2367/485/-2696,530/5/-206,0/0,-740/3700/-12546,-698/251/288,0/-32/24,#l_sy
