r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,8244,309755,54/69/26/74,-253/0/1/-43,-568/2060/277/-383,396/-475/-110,0/0,580/1004/-11710,-518/251/315,-35/-25/-383,#r_sy
r,8245,309795,53/69/26/74,-244/0/0/-76,-554/2057/265/-368,403/-466/-110,0/0,284/1188/-11870,-574/266/414,-34/-26/-371,#r_sy
r,8246,309835,52/69/26/74,-240/0/1/-63,-576/2059/261/-394,410/-457/-110,0/0,512/1078/-11656,-529/258/308,-34/-26/-358,#r_sy
r,8247,309876,51/69/26/74,-286/0/1/-51,-561/2058/509/-368,418/-448/-110,0/0,400/1060/-11800,-564/266/342,-33/-27/-346,#r_sy
r,8248,309915,50/69/26/73,-281/0/0/-33,-573/2059/263/-339,425/-438/-110,0/0,592/970/-11734,-543/268/283,-33/-28/-333,#r_sy
r,8249,309954,49/69/26/73,-249/0/-1/-52,-558/2058/204/-331,432/-428/-110,0/0,636/1022/-11804,-560/275/272,-32/-28/-321,#r_sy
r,8250,309995,48/69/26/73,-263/0/0/-31,-570/2062/472/-307,439/-419/-110,0/0,538/1106/-11732,-555/270/310,-32/-29/-309,#r_sy
r,8251,310034,47/69/26/73,-248/0/0/-29,-592/2056/483/-294,446/-409/-110,0/0,702/1142/-11630,-537/265/248,-31/-29/-298,#r_sy
r,8252,310070,46/69/26/73,-259/0/0/-25,-565/2058/485/-281,452/-399/-110,0/0,494/1204/-11700,-539/269/322,-31/-30/-287,#r_sy
r,8253,310109,45/69/26/73,-258/0/0/-14,-569/2058/487/-315,458/-389/-110,0/0,694/1146/-11600,-534/261/228,-30/-30/-276,#r_sy
r,8254,310151,44/69/26/73,-273/0/0/-2,-560/2059/486/-260,464/-380/-110,0/0,421/1270/-11786,-587/273/328,-30/-31/-265,#r_sy
r,8255,310191,43/69/26/73,-245/0/0/1,-582/2057/487/-236,470/-370/-110,0/0,670/1062/-11534,-523/257/208,-29/-32/-255,#r_sy
r,8256,310232,42/69/26/73,-254/0/0/2,-572/2060/482/-114,475/-360/-110,0/0,390/1288/-11770,-588/270/319,-28/-32/-245,#r_sy
r,8257,310271,41/69/26/73,-284/0/0/3,-590/2061/481/-115,480/-350/-110,0/0,590/1176/-11606,-542/260/247,-28/-33/-235,#r_sy
r,8258,310312,40/69/26/73,-247/0/0/1,-561/2059/484/-29,486/-340/-110,0/0,532/1246/-11768,-567/265/264,-27/-33/-224,#r_sy
r,8259,310351,38/69/26/73,-254/0/0/1,-551/2055/484/-77,491/-330/-110,0/0,460/1286/-11822,-587/272/302,-27/-34/-214,#r_sy
r,8260,310391,37/69/26/73,-263/0/0/1,-567/2061/487/-56,496/-320/-110,0/0,734/1194/-11634,-533/256/201,-26/-34/-203,#r_sy
r,8261,310431,36/69/26/73,-253/0/0/1,-547/2060/494/-26,501/-309/-110,0/0,368/1420/-11916,-611/273/345,-25/-35/-193,#r_sy
r,8262,310471,35/69/26/73,-251/0/0/3,-620/2060/488/-108,506/-299/-110,0/0,828/1198/-11612,-524/252/187,-25/-35/-183,#r_sy
s,0,#r_sy
r,8263,310511,34/69/26/73,-280/0/0/0,-550/2062/487/6,510/-288/-110,0/0,492/1486/-12016,-629/282/325,-24/-35/-172,#r_sy
r,8264,310551,33/69/26/73,-237/0/0/2,-596/2058/490/-99,514/-277/-110,0/0,814/1356/-11742,-563/267/244,-23/-36/-162,#r_sy
r,8265,310591,32/69/26/73,-270/0/0/1,-561/2057/484/8,518/-266/-110,0/0,854/1482/-11874,-603/282/272,-23/-36/-151,#r_sy
r,8266,310631,31/69/26/73,-275/0/0/2,-573/2056/486/-55,523/-255/-110,0/0,760/1524/-11910,-617/286/332,-22/-37/-141,#r_sy
r,8267,310671,30/69/26/73,-257/0/0/4,-587/2061/485/-25,527/-244/-110,0/0,1134/1424/-11808,-569/280/202,-21/-37/-130,#r_sy
r,8268,310712,29/69/26/73,-234/0/0/1,-564/2058/484/-23,530/-233/-110,0/0,842/1656/-12122,-656/310/351,-21/-38/-120,#r_sy
r,8269,310752,28/69/26/73,-245/0/0/2,-586/2063/488/-107,534/-222/-110,0/0,1334/1388/-11796,-554/289/176,-20/-38/-109,#r_sy
r,8270,310792,27/69/26/73,-238/0/0/1,-571/2061/483/19,537/-210/-110,0/0,1100/1600/-12180,-652/321/292,-19/-38/-99,#r_sy
r,8271,310832,26/69/26/73,-263/0/0/5,-586/2060/484/224,540/-199/-110,0/0,1182/1424/-11978,-584/296/246,-19/-39/-89,#r_sy
r,8272,310873,25/69/26/73,-237/0/0/12,-574/2058/489/249,543/-188/-110,0/0,1290/1506/-12112,-611/306/230,-18/-39/-79,#r_sy
r,8273,310912,24/69/26/73,-235/0/0/16,-544/2058/487/257,546/-178/-110,0/0,1092/1594/-12158,-629/309/302,-17/-39/-69,#r_sy
r,8274,310952,23/69/26/73,-224/0/0/13,-580/2059/485/277,548/-167/-110,0/0,1430/1466/-11934,-566/291/191,-17/-40/-60,#r_sy
