r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,13103,487683,-3/74/42/51,0/187/245/0,-228/2684/1082/-19,489/235/9,0/0,220/198/-12284,-341/230/295,16/-265/430,#r_sy
r,13104,487724,-3/75/43/51,0/168/199/0,-227/2661/1010/-25,487/235/20,0/0,86/190/-12262,-343/229/327,17/-281/430,#r_sy
r,13105,487756,-3/75/44/51,0/187/197/0,-231/2670/1086/70,486/235/25,0/0,214/80/-12084,-318/224/279,17/-289/431,#r_sy
r,13106,487792,-3/76/45/51,0/184/236/0,-229/2634/1099/357,485/235/36,0/0,66/64/-12200,-357/242/320,19/-305/431,#r_sy
r,13107,487825,-3/77/46/51,0/146/193/0,-228/2724/1120/357,482/234/46,0/0,14/-26/-12102,-326/224/297,20/-320/432,#r_sy
r,13108,487857,-3/77/46/51,0/141/213/0,-228/2696/1111/87,481/234/50,0/0,-112/-30/-11984,-300/207/339,20/-328/432,#r_sy
r,13109,487891,-3/78/47/51,0/149/232/0,-231/2691/1136/-29,479/234/60,0/0,-130/-26/-12036,-303/207/327,22/-343/433,#r_sy
r,13110,487926,-3/78/48/51,0/125/226/0,-230/2700/1103/131,477/234/69,0/0,-260/-98/-11974,-273/189/332,23/-358/433,#r_sy
r,13111,487958,-3/78/48/51,0/141/228/0,-231/2658/1096/368,475/234/73,0/0,-448/-186/-12046,-271/180/365,23/-365/434,#r_sy
r,13112,487991,-3/79/49/51,0/93/224/0,-230/2687/1098/358,473/234/81,0/0,-469/-280/-12028,-248/167/342,25/-380/435,#r_sy
r,13113,488026,-3/79/50/51,0/92/187/-1,-228/2707/1123/78,470/234/89,0/0,-524/-310/-12020,-237/160/343,26/-393/435,#r_sy
r,13114,488058,-3/80/50/51,0/104/219/0,-228/2669/1101/-1,469/233/93,0/0,-596/-268/-12020,-241/161/366,27/-400/436,#r_sy
r,13115,488092,-3/80/51/51,0/95/197/0,-228/2644/1123/142,466/233/99,0/0,-568/-294/-11892,-215/153/354,28/-413/437,#r_sy
r,13116,488126,-3/80/52/51,0/90/215/1,-228/2661/1124/156,463/233/106,0/0,-538/-284/-11982,-254/187/326,29/-425/437,#r_sy
r,13117,488158,-3/81/53/51,0/68/197/0,-228/2615/1116/357,462/233/108,0/0,-480/-328/-11898,-238/190/278,30/-431/438,#r_sy
r,13118,488191,-3/81/53/51,0/61/191/0,-229/2658/1127/421,459/233/114,0/0,-419/-224/-11848,-250/204/272,31/-442/439,#r_sy
r,13119,488225,-3/81/54/51,0/52/238/0,-231/2630/1121/424,457/233/119,0/0,-454/-164/-11868,-271/218/283,32/-454/439,#r_sy
r,13120,488258,-3/81/55/51,0/60/220/0,-231/2607/1105/58,456/233/121,0/0,-450/-204/-11700,-236/203/272,33/-459/440,#r_sy
