r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,17345,640975,16/61/38/29,187/245/0/0,503/2304/279/-67,465/137/-152,0/0,390/-1056/-11644,-179/117/151,-25/-88/448,#r_sy
r,17346,641015,17/62/38/29,169/253/0/0,513/2359/275/-18,469/130/-144,0/0,456/-1018/-11656,-194/130/133,-29/-97/441,#r_sy
r,17347,641055,17/63/38/29,161/280/0/0,505/2354/276/68,472/123/-135,0/0,396/-968/-11578,-192/131/152,-33/-107/433,#r_sy
r,17348,641095,18/64/38/29,154/257/0/0,528/2368/277/66,475/115/-126,0/0,471/-938/-11626,-191/135/124,-38/-116/425,#r_sy
r,17349,641135,19/65/38/29,165/263/0/0,537/2420/275/66,478/108/-117,0/0,410/-888/-11620,-195/138/138,-43/-125/417,#r_sy
r,17350,641175,19/67/38/29,169/245/0/0,475/2442/277/65,480/100/-109,0/0,336/-838/-11604,-208/145/159,-48/-135/409,#r_sy
r,17351,641215,20/68/38/29,193/282/0/0,483/2427/341/70,483/93/-100,0/0,314/-846/-11640,-223/154/151,-54/-144/401,#r_sy
r,17352,641254,21/69/38/29,174/247/0/0,520/2514/346/67,485/86/-91,0/0,190/-820/-11562,-214/150/182,-59/-153/393,#r_sy
r,17353,641295,22/70/38/29,191/251/0/0,489/2505/344/69,488/78/-82,0/0,233/-860/-11532,-224/159/153,-65/-162/385,#r_sy
r,17354,641336,22/71/38/29,172/264/0/0,535/2489/346/66,490/71/-73,0/0,124/-814/-11452,-213/152/177,-72/-170/376,#r_sy
r,17355,641375,23/72/38/29,188/256/0/0,535/2516/345/70,491/63/-64,0/0,36/-786/-11458,-215/151/192,-78/-179/368,#r_sy
r,17356,641415,24/73/38/29,193/237/0/0,527/2542/343/133,492/56/-55,0/0,108/-847/-11400,-217/158/164,-85/-187/359,#r_sy
r,17357,641455,24/74/38/29,163/251/0/0,514/2564/345/136,494/49/-46,0/0,36/-847/-11298,-198/149/183,-92/-195/350,#r_sy
r,17358,641495,25/75/38/29,156/244/0/0,500/2585/343/135,495/41/-37,0/0,22/-889/-11338,-212/160/166,-99/-203/341,#r_sy
r,17359,641528,26/76/38/29,194/229/0/0,533/2553/344/134,496/34/-29,0/0,-2/-872/-11324,-203/154/170,-107/-211/332,#r_sy
r,17360,641561,26/76/38/29,162/229/0/0,546/2567/345/134,496/30/-24,0/0,-34/-872/-11370,-217/163/176,-111/-214/327,#r_sy
r,17361,641594,27/77/38/29,149/236/0/0,525/2548/345/133,496/23/-16,0/0,-18/-878/-11286,-186/147/160,-119/-222/318,#r_sy
r,17362,641628,28/78/38/29,192/250/0/0,483/2613/412/136,497/16/-7,0/0,18/-846/-11346,-208/163/142,-127/-229/308,#r_sy
r,17363,641660,28/79/38/29,176/243/0/0,514/2651/411/135,497/12/-3,0/0,-117/-794/-11342,-211/161/174,-131/-232/303,#r_sy
r,17364,641695,29/80/38/29,175/268/0/0,523/2655/412/130,497/5/5,0/0,-112/-788/-11336,-212/163/161,-140/-239/293,#r_sy
r,17365,641735,29/81/38/29,209/258/0/0,551/2647/410/133,497/-2/13,0/0,-148/-704/-11328,-209/159/162,-149/-245/283,#r_sy
r,17366,641776,30/82/38/29,193/250/0/0,497/2621/411/137,496/-9/22,0/0,-178/-634/-11358,-223/166/153,-158/-251/273,#r_sy
r,17367,641816,31/83/38/29,173/219/0/0,533/2643/411/180,496/-16/30,0/0,-312/-634/-11312,-219/158/159,-167/-257/262,#r_sy
r,17368,641856,32/83/38/29,178/210/0/0,543/2662/412/200,496/-23/38,0/0,-408/-564/-11332,-241/170/177,-176/-262/252,#r_sy
r,17369,641897,32/84/38/29,182/206/0/0,540/2690/412/200,495/-30/45,0/0,-378/-576/-11204,-216/158/154,-186/-267/241,#r_sy
r,17370,641936,33/85/38/29,201/229/0/0,514/2691/412/201,494/-37/53,0/0,-240/-514/-11270,-253/188/124,-195/-271/231,#r_sy
r,17371,641976,34/86/38/29,158/216/0/0,519/2686/411/199,493/-44/60,0/0,-342/-464/-11156,-214/165/159,-204/-275/220,#r_sy
r,17372,642016,35/87/38/29,198/234/0/0,521/2674/411/203,492/-51/68,0/0,-140/-494/-11268,-253/197/104,-214/-279/210,#r_sy
r,17373,642056,35/88/38/29,196/190/0/0,507/2695/411/202,491/-58/75,0/0,-246/-460/-11116,-211/172/139,-224/-283/199,#r_sy
r,17374,642097,36/89/38/29,202/215/0/0,526/2660/413/200,489/-64/82,0/0,-152/-554/-11150,-226/188/95,-233/-286/189,#r_sy
r,17375,642136,37/89/38/29,193/218/0/0,523/2720/413/201,487/-70/89,0/0,-392/-454/-11146,-217/174/151,-243/-289/178,#r_sy
r,17376,642177,37/90/38/29,161/184/0/0,548/2639/412/200,486/-77/96,0/0,-396/-462/-11134,-215/170/131,-253/-292/168,#r_sy
r,17377,642218,38/91/38/29,194/204/0/0,542/2663/413/203,484/-83/102,0/0,-524/-416/-11132,-220/169/146,-263/-294/157,#r_sy
r,17378,642258,39/92/38/29,158/171/0/0,518/2686/485/205,482/-89/108,0/0,-582/-428/-11048,-203/158/148,-272/-296/147,#r_sy
r,17379,642297,40/92/38/29,180/173/0/0,492/2647/486/201,480/-95/114,0/0,-512/-410/-11046,-214/172/115,-282/-297/137,#r_sy
r,17380,642337,40/93/38/29,189/153/0/0,520/2657/488/203,479/-101/120,0/0,-386/-396/-11010,-208/177/70,-291/-298/127,#r_sy
r,17381,642378,41/94/38/29,194/156/0/0,526/2663/486/200,477/-107/125,0/0,-348/-352/-10970,-187/169/40,-300/-299/118,#r_sy
r,17382,642417,42/94/38/29,190/152/0/2,556/2668/487/412,474/-112/131,0/0,-398/-306/-11000,-192/175/38,-309/-300/108,#r_sy
r,17383,642456,42/95/38/29,153/164/0/19,523/2642/484/514,473/-118/136,0/0,-514/-254/-10986,-193/167/58,-318/-300/98,#r_sy
r,17384,642497,43/95/38/29,147/161/0/57,515/2641/486/527,470/-124/142,0/0,-496/-302/-10950,-181/163/37,-327/-300/87,#r_sy
s,0,#r_sy
r,17385,642538,44/96/38/29,178/157/0/70,481/2599/486/607,469/-131/148,0/0,-584/-300/-11078,-206/175/36,-336/-300/75,#r_sy
r,17386,642577,44/97/38/30,185/117/0/103,495/2617/487/656,466/-138/153,0/0,-752/-264/-11056,-191/158/54,-344/-299/63,#r_sy
r,17387,642617,45/97/38/30,178/139/0/147,497/2601/487/656,464/-145/159,0/0,-714/-312/-11018,-183/155/34,-352/-299/49,#r_sy
r,17388,642657,46/98/38/31,175/137/0/147,519/2600/486/728,462/-153/165,0/0,-1088/-254/-11046,-179/130/124,-360/-297/35,#r_sy
r,17389,642697,46/98/38/31,147/75/0/148,478/2602/488/740,460/-161/171,0/0,-1292/-332/-11058,-172/113/145,-367/-296/20,#r_sy
r,17390,642738,47/98/38/32,159/98/0/174,516/2621/486/757,458/-170/176,0/0,-1358/-404/-10998,-135/86/173,-373/-294/5,#r_sy
r,17391,642777,48/99/38/33,171/83/0/254,514/2625/486/813,456/-179/182,0/0,-1470/-428/-11042,-138/82/193,-379/-292/-10,#r_sy
